ent1,ent2
l1007fsinsc,variants in the il23r
r381q,variants in the il23r
tlr,variants in the il23r
tnf-alpha,variants in the il23r
-819c/t,-819t
il-10,-819t
tlr1,-819t
602s,-819t
mycobacterium leprae antigens,leprosy
rs11209026,timp-1 genotype tt
nod2,timp-1 genotype tt
il23r r381q,timp-1 genotype tt
g908r,timp-1 genotype tt
nf kappab -94attg,timp-1 genotype tt
tnf-alpha-g308a,timp-1 genotype tt
l1007fsinsc,timp-1 genotype tt
r381q,timp-1 genotype tt
tlr,timp-1 genotype tt
tnf-alpha,timp-1 genotype tt
ttac/ccag,cyp1a1
rs4886605,cyp1a1
chi3l1,g.-247c/t
rs10399805,g.-247c/t
rs2275353,g.-247c/t
atopic,atopy
rs11209026,granulocyte-macrophage colony-stimulating factor
nlrp3,granulocyte-macrophage colony-stimulating factor
nod2,granulocyte-macrophage colony-stimulating factor
nalp3,granulocyte-macrophage colony-stimulating factor
mdr1,granulocyte-macrophage colony-stimulating factor
toll-like receptor,granulocyte-macrophage colony-stimulating factor
intestinal cancer,colitis
arg399gln,gln221glu
pro72arg,gln221glu
xrcc3,gln221glu
liglv asp62his,gln221glu
pro231ser,gln221glu
ligiv,gln221glu
15455419a>g,gln221glu
rs7566605,enpp1
insulin resistance,hcv infection
hepatitis c,hcv infection
obesity,hcv infection
nf kappab -94attg,nod2
g908r,nod2
r381q,nod2
nalp3,nod2
toll-like receptor,nod2
tnf-alpha,nod2
rs11209026,nod2
nlrp3,nod2
il23r r381q,nod2
tnf-alpha-g308a,nod2
l1007fsinsc,nod2
tlr,nod2
mdr1,nod2
rs11594656,rs706778
il2ra,rs706778
rs3118470,rs706778
rs11209026,tlr
il23r r381q,tlr
g908r,tlr
nf kappab -94attg,tlr
tnf-alpha-g308a,tlr
l1007fsinsc,tlr
r381q,tlr
tnf-alpha,tlr
rs3743500,nrg3
me2,nrg3
haplotypes gc,nrg3
rs3826047,nrg3
nptn,nrg3
hairy and enhancer of split homologue-1,vegf
flt-1,vegf
rs2108622,cyp4f2
myocardial infarction,mi
nos1ap rs7538490,rs7566605
pklr rs3020781,rs7566605
k121q,rs7566605
insulin resistance,hepatitis c
obesity,hepatitis c
metastatic colorectal cancer,metastasis
rs11209026,il23r r381q
nf kappab -94attg,il23r r381q
g908r,il23r r381q
tnf-alpha-g308a,il23r r381q
l1007fsinsc,il23r r381q
r381q,il23r r381q
tnf-alpha,il23r r381q
rs11209026,mdr1
nlrp3,mdr1
nalp3,mdr1
toll-like receptor,mdr1
rs11209026,nlrp3
nalp3,nlrp3
toll-like receptor,nlrp3
asp1104asp,xpd asn312asn
squamous cell carcinoma,oral leukoplakia
oscc,oral leukoplakia
inflammation,oral leukoplakia
hairy and enhancer of split homologue-1,flt-1
rs677221-g,rs1937970-a
rs3743500,haplotypes gc
me2,haplotypes gc
rs3826047,haplotypes gc
nptn,haplotypes gc
rs11594656,rs3118470
il2ra,rs3118470
il-1alpha tt -889,tnfalpha gene polymorphisms
tnfalpha g -308 allele,tnfalpha gene polymorphisms
rs3743500,me2
rs3826047,me2
nptn,me2
bipolar disorder,psychotic
rs11209026,l1007fsinsc
g908r,l1007fsinsc
nf kappab -94attg,l1007fsinsc
tnf-alpha-g308a,l1007fsinsc
r381q,l1007fsinsc
tnf-alpha,l1007fsinsc
mhc,rs2395029
syndecan 2,rs2395029
rs2575735,rs2395029
rs12198173,rs2395029
rs3093662,rs2395029
arg399gln,pro72arg
xrcc3,pro72arg
liglv asp62his,pro72arg
pro231ser,pro72arg
ligiv,pro72arg
15455419a>g,pro72arg
rs3826047,rs3743500
nptn,rs3743500
rs7538490,pklr rs3020781
t-allele of nos1ap rs7538490,pklr rs3020781
nos1ap rs7538490,pklr rs3020781
k121q,pklr rs3020781
nos1ap,pklr rs3020781
insulin resistance,obesity
type 2 diabetes,obesity
chi3l1,rs10399805
rs2275353,rs10399805
rs3826047,nptn
rs2165241,loxl1
loxl1 polymorphisms,loxl1
poag,exfoliation glaucoma
ghrhr mrna,ghrh
xrcc3,gpx2
hypopharyngeal cancer,oropharyngeal
rs7538490,t-allele of nos1ap rs7538490
nos1ap,t-allele of nos1ap rs7538490
-819c/t,il-10
tlr1,il-10
602s,il-10
tlr1,602s
-819c/t,602s
rs11209026,r381q
g908r,r381q
nf kappab -94attg,r381q
tnf-alpha-g308a,r381q
tnf-alpha,r381q
rs11209026,tnf-alpha
g908r,tnf-alpha
nf kappab -94attg,tnf-alpha
tnf-alpha-g308a,tnf-alpha
nos1ap rs7538490,k121q
arg399gln,pro231ser
xrcc3,pro231ser
liglv asp62his,pro231ser
ligiv,pro231ser
15455419a>g,pro231ser
tnfalpha g -308 allele,il-1alpha tt -889
rs11594656,il2ra
oscc,inflammation
squamous cell carcinoma,inflammation
rs2275353,chi3l1
rs4886605,ttac/ccag
rs7538490,nos1ap
xrcc3,arg399gln
liglv asp62his,arg399gln
ligiv,arg399gln
15455419a>g,arg399gln
squamous cell carcinoma,oscc
loxl1 polymorphisms,rs2165241
nf kappab -94attg,rs11209026
g908r,rs11209026
nalp3,rs11209026
toll-like receptor,rs11209026
tnf-alpha-g308a,rs11209026
glra1,sh3tc2
toll-like receptor,nalp3
liglv asp62his,xrcc3
ligiv,xrcc3
15455419a>g,xrcc3
nf kappab -94attg,g908r
tnf-alpha-g308a,g908r
syndecan 2,mhc
rs2575735,mhc
rs12198173,mhc
rs3093662,mhc
-819c/t,tlr1
syndecan 2,rs12198173
rs2575735,rs12198173
rs3093662,rs12198173
syndecan 2,rs3093662
rs2575735,rs3093662
rs2575735,syndecan 2
ligiv,liglv asp62his
15455419a>g,liglv asp62his
15455419a>g,ligiv
nf kappab -94attg,tnf-alpha-g308a
