ent1,ent2
mmp-3,gm-csf
card15,gm-csf
r381q,gm-csf
fcgiiia g559t,gm-csf
rs7538490,nos1ap
nos1ap rs7538490,nos1ap
pklr,nos1ap
rs3020781,nos1ap
pklr rs3020781,nos1ap
t-allele of nos1ap rs7538490,nos1ap
diabetes-related quantitative metabolic phenotypes,type 2 diabetes
overweight,type 2 diabetes
obesity,type 2 diabetes
abeta,hcnppp
hcnp,hcnppp
amyloid beta protein,hcnppp
alzheimer's disease,ad
oropharyngeal,hypopharyngeal cancer
insig2 rs7566605,enpp)-1
k121q,enpp)-1
nos1ap rs7538490,enpp)-1
rs7566605,enpp)-1
pklr rs3020781,enpp)-1
obesity,insulin resistance
hcv infection,insulin resistance
hepatitis c,insulin resistance
xrcc7,rad52 gln221glu
xrcc3,rad52 gln221glu
arg559gln,rad52 gln221glu
pro72arg,rad52 gln221glu
arg399gln,rad52 gln221glu
gln221glu,rad52 gln221glu
liglv asp62his,rad52 gln221glu
pro231ser,rad52 gln221glu
rad51,rad52 gln221glu
ligiv,rad52 gln221glu
arg280his,rad52 gln221glu
thr241met,rad52 gln221glu
xrcc1,rad52 gln221glu
tnf-alpha-g308a,mmp-3
il23r r381q,mmp-3
rs11209026,mmp-3
snp +372 t/c,mmp-3
variants in the il23r,mmp-3
5t5t genotype at mmp-3 snp -1613 5t/6t,mmp-3
nf kappab -94attg,mmp-3
tnf-alpha,mmp-3
timp-1 genotype tt,mmp-3
tlr,mmp-3
timp-1,mmp-3
il23r,mmp-3
g908r,mmp-3
card15,mmp-3
r381q,mmp-3
fcgiiia g559t,mmp-3
tnf-alpha-g308a,variants in the il23r
il23r r381q,variants in the il23r
rs11209026,variants in the il23r
snp +372 t/c,variants in the il23r
5t5t genotype at mmp-3 snp -1613 5t/6t,variants in the il23r
nf kappab -94attg,variants in the il23r
tnf-alpha,variants in the il23r
timp-1 genotype tt,variants in the il23r
tlr,variants in the il23r
timp-1,variants in the il23r
il23r,variants in the il23r
g908r,variants in the il23r
card15,variants in the il23r
r381q,variants in the il23r
fcgiiia g559t,variants in the il23r
il2ra,rs706778
rs11594656,rs706778
cytochrome p450 1a1,cyp1a1
ttac/ccag,cyp1a1
rs4886605,cyp1a1
rs2198843,cyp1a1
hepatocellular carcinoma,hcc
his1104asp,xpd asn312asn
asp1104asp,xpd asn312asn
glra1,sh3tc2
meckel syndromes,leber congenital amaurosis
joubert,leber congenital amaurosis
rs2228570,rs731236
rs10735810,rs731236
snps in the vdr,rs731236
mm,bc
rs4886605,cytochrome p450 1a1
ttac/ccag,cytochrome p450 1a1
rs2198843,cytochrome p450 1a1
rs1937970-rs677221,haplotype gc
rs3826047,haplotype gc
rs1937970,haplotype gc
haplotype ag,haplotype gc
me2,haplotype gc
rs3743500,haplotype gc
haplotypes gc,haplotype gc
rs3840846,haplotype gc
nrg3,haplotype gc
nptn,haplotype gc
psychosis,schizophrenia
psychotic,schizophrenia
bipolar disorder,schizophrenia
rs42524,col1a2
rs2228570,snps in the vdr
rs10735810,snps in the vdr
xrcc3,gpx2
epsilon4,stk39
epsilon2,stk39
lrp5,rs1784235
602s,interleukin-10 promoter single-nucleotide polymorphisms
tlr,interleukin-10 promoter single-nucleotide polymorphisms
-819c/t,interleukin-10 promoter single-nucleotide polymorphisms
il-10,interleukin-10 promoter single-nucleotide polymorphisms
tlr1,interleukin-10 promoter single-nucleotide polymorphisms
rs1937970-rs677221,rs3840846
rs3826047,rs3840846
rs1937970,rs3840846
haplotype ag,rs3840846
me2,rs3840846
rs3743500,rs3840846
haplotypes gc,rs3840846
nrg3,rs3840846
nptn,rs3840846
insig2 rs7566605,k121q
nos1ap rs7538490,k121q
rs7566605,k121q
pklr rs3020781,k121q
enpp1,k121q
6q23,fetal haemoglobin
hbf,fetal haemoglobin
hbs1l-myb,fetal haemoglobin
hbb disorders,beta-thalassaemia
602s,-819c/t
tlr,-819c/t
il-10,-819c/t
tlr1,-819c/t
nalp3,mdr1
il23r,mdr1
toll-like receptor,mdr1
g2677t/a,mdr1
il23r r381q,mdr1
rs11209026,mdr1
il23r haplotypes,mdr1
nucleotide oligomerization domain 2,mdr1
nlrp3,mdr1
granulocyte-macrophage colony-stimulating factor,mdr1
crohn's disease,ulcerative colitis
inflammatory bowel disease,ulcerative colitis
insig2 rs7566605,rs7566605
nos1ap rs7538490,rs7566605
pklr rs3020781,rs7566605
enpp1,rs7566605
hepatitis c,obesity
hcv infection,obesity
adiposity,obesity
overweight,obesity
il22r1,il-22r1
recalcitrant crswnp,crssnp
crswnp,crssnp
hepatitis c,hcv infection
tnf-alpha-g308a,timp-1
il23r r381q,timp-1
rs11209026,timp-1
snp +372 t/c,timp-1
5t5t genotype at mmp-3 snp -1613 5t/6t,timp-1
nf kappab -94attg,timp-1
tnf-alpha,timp-1
timp-1 genotype tt,timp-1
tlr,timp-1
il23r,timp-1
g908r,timp-1
card15,timp-1
r381q,timp-1
fcgiiia g559t,timp-1
insig2 rs7566605,pklr rs3020781
rs7538490,pklr rs3020781
nos1ap rs7538490,pklr rs3020781
pklr,pklr rs3020781
rs3020781,pklr rs3020781
t-allele of nos1ap rs7538490,pklr rs3020781
nalp3,il23r
tnf-alpha-g308a,il23r
toll-like receptor,il23r
g2677t/a,il23r
il23r r381q,il23r
rs11209026,il23r
snp +372 t/c,il23r
5t5t genotype at mmp-3 snp -1613 5t/6t,il23r
nf kappab -94attg,il23r
nlrp3,il23r
granulocyte-macrophage colony-stimulating factor,il23r
tnf-alpha,il23r
timp-1 genotype tt,il23r
tlr,il23r
g908r,il23r
card15,il23r
r381q,il23r
fcgiiia g559t,il23r
nucleotide oligomerization domain 2,il23r
il23r haplotypes,il23r
inflammatory bowel disease,crohn's disease
rs7538490,t-allele of nos1ap rs7538490
nos1ap rs7538490,t-allele of nos1ap rs7538490
pklr,t-allele of nos1ap rs7538490
rs3020781,t-allele of nos1ap rs7538490
crswnp,recalcitrant crswnp
meckel syndromes,joubert
insig2 rs7566605,nos1ap rs7538490
rs7538490,nos1ap rs7538490
pklr,nos1ap rs7538490
rs3020781,nos1ap rs7538490
rs1937970-rs677221,haplotype ag
rs3826047,haplotype ag
rs1937970,haplotype ag
me2,haplotype ag
rs3743500,haplotype ag
haplotypes gc,haplotype ag
nrg3,haplotype ag
nptn,haplotype ag
il-23,tissue inhibitors of metalloproteinases
tnf)-alpha,tissue inhibitors of metalloproteinases
tumor necrosis factor,tissue inhibitors of metalloproteinases
chronic mucosal inflammation,inflammatory bowel diseases
ibd,inflammatory bowel diseases
rs1937970-rs677221,nrg3
rs3826047,nrg3
rs1937970,nrg3
me2,nrg3
rs3743500,nrg3
haplotypes gc,nrg3
nptn,nrg3
his1104asp,asp1104asp
nalp3,g2677t/a
toll-like receptor,g2677t/a
il23r r381q,g2677t/a
rs11209026,g2677t/a
il23r haplotypes,g2677t/a
nucleotide oligomerization domain 2,g2677t/a
nlrp3,g2677t/a
granulocyte-macrophage colony-stimulating factor,g2677t/a
matrix metalloproteinase,mmp
tnf-alpha-g308a,5t5t genotype at mmp-3 snp -1613 5t/6t
il23r r381q,5t5t genotype at mmp-3 snp -1613 5t/6t
rs11209026,5t5t genotype at mmp-3 snp -1613 5t/6t
snp +372 t/c,5t5t genotype at mmp-3 snp -1613 5t/6t
nf kappab -94attg,5t5t genotype at mmp-3 snp -1613 5t/6t
tnf-alpha,5t5t genotype at mmp-3 snp -1613 5t/6t
timp-1 genotype tt,5t5t genotype at mmp-3 snp -1613 5t/6t
tlr,5t5t genotype at mmp-3 snp -1613 5t/6t
g908r,5t5t genotype at mmp-3 snp -1613 5t/6t
card15,5t5t genotype at mmp-3 snp -1613 5t/6t
r381q,5t5t genotype at mmp-3 snp -1613 5t/6t
fcgiiia g559t,5t5t genotype at mmp-3 snp -1613 5t/6t
xrcc7,xrcc1
xrcc3,xrcc1
arg559gln,xrcc1
pro72arg,xrcc1
arg399gln,xrcc1
gln221glu,xrcc1
liglv asp62his,xrcc1
pro231ser,xrcc1
rad51,xrcc1
ligiv,xrcc1
arg280his,xrcc1
thr241met,xrcc1
nalp3,il23r haplotypes
toll-like receptor,il23r haplotypes
il23r r381q,il23r haplotypes
rs11209026,il23r haplotypes
nucleotide oligomerization domain 2,il23r haplotypes
nlrp3,il23r haplotypes
granulocyte-macrophage colony-stimulating factor,il23r haplotypes
granulocyte-macrophage colony-stimulating factor,nlrp3
nalp3,nlrp3
toll-like receptor,nlrp3
il23r r381q,nlrp3
rs11209026,nlrp3
nucleotide oligomerization domain 2,nlrp3
vascular stiffness,vascular calcification
rs10735810,rs2228570
hus,bloody diarrhea
rs10399805,g.-247c/t
chi3l1,g.-247c/t
rs2275353,g.-247c/t
atopic,atopy
oral leukoplakia,inflammation
squamous cell carcinoma,inflammation
oscc,inflammation
syndecan 2,rs2395029
rs6503919,rs2395029
mhc,rs2395029
rs13199524,rs2395029
rs2575735,rs2395029
rs3093662,rs2395029
tnf)-alpha,il-23
tumor necrosis factor,il-23
xrcc7,gln221glu
xrcc3,gln221glu
arg559gln,gln221glu
pro72arg,gln221glu
arg399gln,gln221glu
liglv asp62his,gln221glu
pro231ser,gln221glu
rad51,gln221glu
ligiv,gln221glu
arg280his,gln221glu
thr241met,gln221glu
squamous cell carcinoma,oral leukoplakia
oscc,oral leukoplakia
rs1937970-rs677221,me2
rs3826047,me2
rs1937970,me2
rs3743500,me2
haplotypes gc,me2
nptn,me2
nalp3,granulocyte-macrophage colony-stimulating factor
toll-like receptor,granulocyte-macrophage colony-stimulating factor
il23r r381q,granulocyte-macrophage colony-stimulating factor
rs11209026,granulocyte-macrophage colony-stimulating factor
nucleotide oligomerization domain 2,granulocyte-macrophage colony-stimulating factor
sporadic breast cancer,cancer
nalp3,il23r r381q
tnf-alpha-g308a,il23r r381q
toll-like receptor,il23r r381q
rs11209026,il23r r381q
snp +372 t/c,il23r r381q
nf kappab -94attg,il23r r381q
tnf-alpha,il23r r381q
timp-1 genotype tt,il23r r381q
tlr,il23r r381q
g908r,il23r r381q
card15,il23r r381q
r381q,il23r r381q
fcgiiia g559t,il23r r381q
nucleotide oligomerization domain 2,il23r r381q
rs7538490,pklr
rs3020781,pklr
xrcc7,rad51
xrcc3,rad51
arg559gln,rad51
pro72arg,rad51
arg399gln,rad51
liglv asp62his,rad51
pro231ser,rad51
ligiv,rad51
arg280his,rad51
thr241met,rad51
tnf-alpha-g308a,card15
rs11209026,card15
snp +372 t/c,card15
nf kappab -94attg,card15
tnf-alpha,card15
timp-1 genotype tt,card15
tlr,card15
g908r,card15
r381q,card15
fcgiiia g559t,card15
602s,il-10
tlr,il-10
tlr1,il-10
psychotic,psychosis
bipolar disorder,psychosis
flt-1,vegf
hairy and enhancer of split homologue-1,vegf
vegfr-1,vegf
hes-1,vegf
hairy and enhancer of split homolog-1,vegf
602s,tlr
tnf-alpha-g308a,tlr
rs11209026,tlr
snp +372 t/c,tlr
nf kappab -94attg,tlr
tnf-alpha,tlr
timp-1 genotype tt,tlr
g908r,tlr
r381q,tlr
fcgiiia g559t,tlr
tlr1,tlr
rs4251961 t/t,il-1ra
rs579543 t/t,il-1ra
metastatic colorectal cancer,metastasis
tumor angiogenesis,metastasis
rs10399805,chi3l1
rs2275353,chi3l1
tnf-alpha-g308a,fcgiiia g559t
rs11209026,fcgiiia g559t
snp +372 t/c,fcgiiia g559t
nf kappab -94attg,fcgiiia g559t
tnf-alpha,fcgiiia g559t
timp-1 genotype tt,fcgiiia g559t
g908r,fcgiiia g559t
r381q,fcgiiia g559t
psychotic,bipolar disorder
flt-1,vegfr-1
hairy and enhancer of split homologue-1,vegfr-1
hes-1,vegfr-1
hairy and enhancer of split homolog-1,vegfr-1
flt-1,hairy and enhancer of split homolog-1
hairy and enhancer of split homologue-1,hairy and enhancer of split homolog-1
hes-1,hairy and enhancer of split homolog-1
flt-1,hes-1
hairy and enhancer of split homologue-1,hes-1
beta-catenin,wnt
krüppel-like factor 5,wnt
tnfalpha g -308 allele,il-1alpha tt -889
il-1,il-1alpha tt -889
tnfalpha gene polymorphisms,il-1alpha tt -889
abeta,amyloid beta protein
tnf-alpha-g308a,snp +372 t/c
rs11209026,snp +372 t/c
nf kappab -94attg,snp +372 t/c
tnf-alpha,snp +372 t/c
timp-1 genotype tt,snp +372 t/c
g908r,snp +372 t/c
r381q,snp +372 t/c
tumor necrosis factor,tnf)-alpha
tnfalpha g -308 allele,il-1
tnfalpha gene polymorphisms,il-1
tnf-alpha-g308a,timp-1 genotype tt
rs11209026,timp-1 genotype tt
nf kappab -94attg,timp-1 genotype tt
tnf-alpha,timp-1 genotype tt
g908r,timp-1 genotype tt
r381q,timp-1 genotype tt
rs2165241,loxl1 polymorphisms
loxl1,loxl1 polymorphisms
exfoliation syndrome,poag
exfoliation glaucoma,poag
xrcc7,ligiv
xrcc3,ligiv
arg559gln,ligiv
pro72arg,ligiv
arg399gln,ligiv
liglv asp62his,ligiv
pro231ser,ligiv
arg280his,ligiv
thr241met,ligiv
loxl1,rs2165241
rs1048661,rs2165241
rs2275353,rs10399805
krüppel-like factor 5,beta-catenin
syndecan 2,rs3093662
rs6503919,rs3093662
mhc,rs3093662
rs13199524,rs3093662
rs2575735,rs3093662
tnfalpha g -308 allele,tnfalpha gene polymorphisms
6q23,hbs1l-myb
rs1937970-rs677221,rs3743500
rs3826047,rs3743500
rs1937970,rs3743500
haplotypes gc,rs3743500
nptn,rs3743500
xrcc7,arg280his
xrcc3,arg280his
arg559gln,arg280his
pro72arg,arg280his
arg399gln,arg280his
liglv asp62his,arg280his
pro231ser,arg280his
thr241met,arg280his
tlr1,602s
tnf-alpha-g308a,tnf-alpha
rs11209026,tnf-alpha
nf kappab -94attg,tnf-alpha
g908r,tnf-alpha
r381q,tnf-alpha
rs4251961 t/t,rs579543 t/t
tumor angiogenesis,metastatic colorectal cancer
xrcc7,pro231ser
xrcc3,pro231ser
arg559gln,pro231ser
pro72arg,pro231ser
arg399gln,pro231ser
liglv asp62his,pro231ser
thr241met,pro231ser
hairy and enhancer of split homologue-1,flt-1
rs677221-g,rs1937970-a
xrcc3,xrcc7
arg559gln,xrcc7
pro72arg,xrcc7
arg399gln,xrcc7
liglv asp62his,xrcc7
thr241met,xrcc7
rs1937970-rs677221,haplotypes gc
rs3826047,haplotypes gc
rs1937970,haplotypes gc
nptn,haplotypes gc
nalp3,nucleotide oligomerization domain 2
toll-like receptor,nucleotide oligomerization domain 2
rs11209026,nucleotide oligomerization domain 2
syndecan 2,rs2575735
rs6503919,rs2575735
mhc,rs2575735
rs13199524,rs2575735
rs11594656,il2ra
tnf-alpha-g308a,r381q
rs11209026,r381q
nf kappab -94attg,r381q
g908r,r381q
rs1937970-rs677221,nptn
rs3826047,nptn
rs1937970,nptn
rs3826047,rs1937970-rs677221
rs1937970,rs1937970-rs677221
ghrh receptor,ghrh
ghrhr mrna,ghrh
xrcc3,arg399gln
arg559gln,arg399gln
pro72arg,arg399gln
liglv asp62his,arg399gln
thr241met,arg399gln
arg559gln,xrcc3
liglv asp62his,xrcc3
thr241met,xrcc3
pro72arg,xrcc3
nalp3,toll-like receptor
rs11209026,toll-like receptor
cyp4f2,rs2108622
myocardial infarction,mi
epsilon4,epsilon2
rs11209026,nalp3
pds,pyridoxine dependent seizures
rs4886605,ttac/ccag
rs2198843,ttac/ccag
ghrhr mrna,ghrh receptor
squamous cell carcinoma,oscc
tnf-alpha-g308a,rs11209026
nf kappab -94attg,rs11209026
g908r,rs11209026
rs2198843,rs4886605
rs7538490,rs3020781
arg559gln,pro72arg
liglv asp62his,pro72arg
thr241met,pro72arg
liglv asp62his,arg559gln
thr241met,arg559gln
tnf-alpha-g308a,g908r
nf kappab -94attg,g908r
rs6503919,syndecan 2
mhc,syndecan 2
rs13199524,syndecan 2
thr241met,liglv asp62his
rs1937970,rs3826047
rs6503919,rs13199524
mhc,rs13199524
rs6503919,mhc
nf kappab -94attg,tnf-alpha-g308a
